botid; date; time; press; nit; chl; l12; d12
#; mmddyy; hhmmss; dbar; umol/kg; ug/l; mg C/m3; mg C/m3
130200404;10590;45652;126.9;0.5;0.09;-9;-9
130200403;10590;45410;136.8;1.29;0.02;-9;-9
130200521;10590;84421;12.3;0;0.01;-9;-9
130200519;10590;84005;26.7;0;0.1;-9;-9
130200518;10590;83802;160.6;0.93;0.04;-9;-9
130200517;10590;83632;177.8;-9;0.01;-9;-9
130200515;10590;83439;215.3;2.5;0.01;-9;-9
130200513;10590;83220;239.1;3.94;-9;-9;-9
130200512;10590;83124;252.9;4.69;-9;-9;-9
130200511;10590;83017;280.5;6.33;-9;-9;-9
130210008;10590;-9;2;-9;0.12;4.68;-9
130210007;10590;-9;10;-9;0.11;4.59;-9
130210006;10590;-9;40;-9;0.13;3.97;-9
130210005;10590;-9;80;-9;0.19;1.82;0.13
130210004;10590;-9;95;-9;0.17;1.545;0.13
130210003;10590;-9;120;-9;0.12;0.7;0.11
130210002;10590;-9;145;-9;0.06;0.145;0.11
130210001;10590;-9;175;-9;0.01;0.085;0.13
140201121;21690;144751;49.7;0;-9;-9;-9
140201120;21690;144639;77.6;0.21;-9;-9;-9
140201119;21690;144519;102;0.27;-9;-9;-9
140201118;21690;144344;133.5;1.51;-9;-9;-9
140201117;21690;144157;172.9;2.79;-9;-9;-9
140201116;21690;144039;233.3;5.7;-9;-9;-9
140201115;21690;143913;273.3;7.91;-9;-9;-9
140201223;21690;174137;4.2;0;-9;-9;-9
140201222;21690;174024;14;0;-9;-9;-9
140201221;21690;173923;24.9;0;0.09;-9;-9
140201220;21690;173834;34.9;0;0.09;-9;-9
140201219;21690;173743;45.9;0.02;0.11;-9;-9
140201218;21690;173651;60.8;0.02;0.11;-9;-9
140201217;21690;173556;75.6;0.02;0.21;-9;-9
140201216;21690;173508;85.3;0.08;0.29;-9;-9
140201215;21690;173419;96.4;0.45;0.34;-9;-9
140201214;21690;173327;105.9;0.32;0.24;-9;-9
140201213;21690;173238;115.6;0.4;0.16;-9;-9
140201212;21690;173151;125.4;0.96;0.1;-9;-9
140201211;21690;173058;135.7;1.21;0.03;-9;-9
140201210;21690;172959;151;1.62;0.01;-9;-9
140201208;21690;172753;177.6;2.74;-9;-9;-9
140210008;21590;-9;4;-9;0.08;2.53;0.09
140210007;21590;-9;10;-9;0.1;5.53;0.2
140210006;21590;-9;30;-9;0.11;3.08;0.23
140210005;21590;-9;70;-9;0.22;3.295;0.16
140210004;21590;-9;88;-9;0.33;2.63;-9
140210003;21590;-9;115;-9;0.22;0.83;-9
140210002;21590;-9;135;-9;0.11;0.26;0.17
140210001;21590;-9;160;-9;0.04;-9;0.1
150200115;-9;-9;5;-9;0.08;-9;-9
150200114;-9;-9;25.7;-9;0.09;-9;-9
150200113;-9;-9;46.5;-9;0.13;-9;-9
150200112;-9;-9;76;-9;0.13;-9;-9
150200111;-9;-9;100.9;-9;0.21;-9;-9
150200110;-9;-9;126.8;-9;0.25;-9;-9
150200109;-9;-9;176.4;-9;0.03;-9;-9
150200108;31890;112741;176.4;-9;0.03;-9;-9
150200208;31890;131652;5.2;-9;0.09;-9;-9
150200207;31890;131544;27.3;-9;0.09;-9;-9
150200206;31890;131439;47;-9;0.09;-9;-9
150200205;31890;131326;76.2;-9;0.14;-9;-9
150200204;31890;131221;98.4;-9;0.22;-9;-9
150200203;31890;131104;123.2;-9;0.19;-9;-9
150200202;31890;130940;148.5;-9;0.05;-9;-9
150200423;31990;4347;1.7;0;-9;-9;-9
150200422;31990;4234;24.6;0.02;-9;-9;-9
150200421;31990;4056;49.4;0;-9;-9;-9
150200420;31990;3933;75.5;0;-9;-9;-9
150200419;31990;3803;108;0;-9;-9;-9
150200418;31990;3545;142;0.96;-9;-9;-9
150200417;31990;3431;153.2;1.65;-9;-9;-9
150200416;31990;3320;174.1;3.85;-9;-9;-9
150200415;31990;3122;174.1;3.85;-9;-9;-9
150200414;31990;2910;226.7;7.38;-9;-9;-9
150200413;31990;2736;296.1;17.04;-9;-9;-9
150200623;31990;82925;116.7;0;0.26;-9;-9
150200622;31990;82816;126.9;0.02;0.25;-9;-9
150200621;31990;82706;137.2;0.2;0.18;-9;-9
150200620;31990;82556;151.7;1.01;0.09;-9;-9
150200619;31990;82455;163.1;-9;0.09;-9;-9
150200618;31990;82356;177.8;2.91;0.05;-9;-9
150200616;31990;82143;203.7;5.36;0.01;-9;-9
150200614;31990;81938;213.8;5.37;-9;-9;-9
150200612;31990;81641;239.4;7.42;-9;-9;-9
150200611;31990;81342;256.3;9.49;-9;-9;-9
150200713;31990;114727;5.6;0;-9;-9;-9
150200712;31990;114631;15.7;0;0.08;-9;-9
150200711;31990;114529;25.5;0;-9;-9;-9
150200710;31990;114432;35.1;0;0.09;-9;-9
150200709;31990;114336;45.3;0.02;0.08;-9;-9
150200708;31990;114227;60.6;0;0.09;-9;-9
150200707;31990;114116;75.1;0;0.07;-9;-9
150200706;31990;114005;87.1;0;0.09;-9;-9
150200705;31990;113852;99;0.04;0.11;-9;-9
150200704;31990;113734;110;0.05;0.24;-9;-9
150200821;-9;-9;5.6;-9;0.1;-9;-9
150200820;-9;-9;26.3;-9;0.1;-9;-9
150200819;-9;-9;46.2;-9;0.14;-9;-9
150200818;-9;-9;75.9;-9;0.21;-9;-9
150200817;-9;-9;100.6;-9;0.26;-9;-9
150200816;-9;-9;125.3;-9;0.15;-9;-9
150200815;-9;-9;149.5;-9;0.06;-9;-9
150200814;-9;-9;149.5;-9;0.06;-9;-9
150200908;-9;-9;5;-9;0.12;-9;-9
150200907;-9;-9;25;-9;0.13;-9;-9
150200906;-9;-9;45;-9;0.14;-9;-9
150200905;-9;-9;75;-9;0.14;-9;-9
150200904;-9;-9;100;-9;0.19;-9;-9
150200903;-9;-9;124.7;-9;0.22;-9;-9
150200902;31990;143252;149.5;-9;0.1;-9;-9
150200901;31990;143116;175.2;-9;0.05;-9;-9
150201408;32090;125604;6;-9;0.09;-9;-9
150201407;32090;125504;25.8;-9;0.09;-9;-9
150201406;32090;125405;45.7;-9;0.1;-9;-9
150201405;32090;125240;75.1;-9;0.15;-9;-9
150201404;32090;125125;99.3;-9;0.2;-9;-9
150201403;32090;124944;124;-9;0.16;-9;-9
150201402;32090;124818;149.6;-9;0.1;-9;-9
150201401;32090;124641;175.2;-9;0.02;-9;-9
150201517;-9;-9;6.3;-9;0.09;-9;-9
150201516;-9;-9;26.1;-9;0.09;-9;-9
150201515;-9;-9;45;-9;0.1;-9;-9
150201514;-9;-9;74.7;-9;0.14;-9;-9
150201513;-9;-9;99.9;-9;0.39;-9;-9
150201512;-9;-9;124.3;-9;0.25;-9;-9
150201511;-9;-9;124.3;-9;0.22;-9;-9
150201510;-9;-9;173.3;-9;0.03;-9;-9
150210008;31990;-9;5;-9;0.09;4.203;-9
150210007;31990;-9;25;-9;0.11;3.643;-9
150210006;31990;-9;45;-9;0.1;4.663;-9
150210005;31990;-9;75;-9;0.17;4.84;-9
150210004;31990;-9;100;-9;0.2;3.497;-9
150210003;31990;-9;125;-9;0.27;1.723;-9
150210002;31990;-9;150;-9;0.05;0.283;-9
150210001;31990;-9;175;-9;0.04;0.133;-9
160200224;41290;181121;1.2;0.02;-9;-9;-9
160200223;41290;180925;11.8;0.02;-9;-9;-9
160200222;41290;180652;34.2;0;-9;-9;-9
160200221;41290;180414;56.8;0.02;-9;-9;-9
160200220;41290;180119;153.7;0.1;-9;-9;-9
160200219;41290;175830;169.2;0.07;-9;-9;-9
160200218;41290;175651;204.8;1.78;-9;-9;-9
160200217;41290;175405;266.3;9.53;-9;-9;-9
160200623;41390;61646;81.5;0;-9;-9;-9
160200622;41390;61446;117.3;0;0.1;-9;-9
160200621;41390;61327;128.7;0;0.2;-9;-9
160200620;41390;61157;137;0.07;0.16;-9;-9
160200619;41390;61027;152.2;0.26;0.15;-9;-9
160200618;41390;60917;162.4;0.45;0.17;-9;-9
160200617;41390;60801;178.8;0.93;0.09;-9;-9
160200616;41390;60623;190.6;1.14;-9;-9;-9
160200615;41390;60455;207;1.11;-9;-9;-9
160200614;41390;60331;214.8;0.64;-9;-9;-9
160200613;41390;60207;231.2;2.35;-9;-9;-9
160200612;41390;60005;255.9;4.18;-9;-9;-9
160200611;41390;55827;255.9;4.18;-9;-9;-9
160200714;41390;91344;6.3;0;-9;-9;-9
160200713;41390;91248;16.6;0;0.06;-9;-9
160200712;41390;91158;25.7;0.02;0.05;-9;-9
160200710;41390;91046;36.9;0.05;0.06;-9;-9
160200709;41390;91000;45.9;0.02;0.07;-9;-9
160200708;41390;90901;61.8;0;0.08;-9;-9
160200707;41390;90806;61.8;0.02;0.08;-9;-9
160200706;41390;90709;78;0;0.09;-9;-9
160200705;41390;90614;98.5;0;0.09;-9;-9
160200704;41390;90513;108.8;0;0.13;-9;-9
160210008;41390;-9;2;-9;0.09;2.7;0.48
160210007;41390;-9;10;-9;0.1;0.98;0.13
160210006;41390;-9;40;-9;0.13;2.41;0.18
160210005;41390;-9;80;-9;0.17;1.855;0.13
160210004;41390;-9;95;-9;0.23;4.58;0.13
