"DOY" "Depth" "NPP"
354 45.6 4.607
354 74.1 1.85
354 100.6 0.997
354 125.4 0.45
22 4.6 5.32
22 23.9 4.643
22 44.9 2.187
22 75.1 1.003
22 99.3 0.347
22 125.2 0.287
56 3.3 4.767
56 25 3.615
56 43.7 3.67
56 74.4 1.507
56 97.8 0.89
56 123.7 0.487
80 6.9 4.347
80 24.2 5.187
80 45.1 5.287
80 73.9 3.013
80 100.2 4.423
80 123.4 0.773
112 3.9 7.17
112 23.1 7.247
112 44 4.783
112 73.4 5.427
112 98.4 3.707
112 123.6 1.127
140 4.7 8.353
140 24.2 9.523
140 44.5 7.94
140 74.3 5.913
140 99.1 3.557
140 124.6 1.66
168 3.9 7.18
168 24.3 7.5
168 44.2 7.147
168 74.3 3.757
168 99.6 2.747
168 124.3 0.85
230 5.1 6.937
230 24.6 8.213
230 45.6 8
230 74.6 2.89
230 99 3.14
230 124.3 0.6
273 4.8 5.653
273 24.8 5.69
273 44.2 5.743
273 73.9 3.737
273 99.8 1.833
273 125.7 0.677
305 4.9 8.657
305 25.3 7.897
305 46.3 6.99
305 74.7 2.687
305 99.3 0.82
305 125.3 0.26
333 4.7 4.71
333 25 5.073
333 45.2 4.017
333 76 1.707
333 99.3 0.607
333 124.6 0.18
356 5 5.947
356 24.4 5.287
356 44.9 3.94
356 76.1 1.403
356 100.4 0.873
356 124.7 0.103
33 5 6.333
33 25.1 6.133
33 44.9 4.52
33 74.5 2.207
33 100.3 0.473
33 125 0.123
139 13.4 6.77
139 25.9 7.58
139 43.2 4.743
139 75.9 4.023
139 99.8 2.797
139 124.4 1.493
166 13.5 6.077
166 24.9 6.877
166 43.7 6.62
166 75.2 4.443
166 99.5 4.993
166 125.1 0.933
198 4.9 7.24
198 25.4 6.637
198 45.3 6.367
198 75 5.2
198 100.6 2.45
198 125 1.583
226 4.8 5.85
226 24.9 6.64
226 45.5 5.823
226 75.3 5.13
226 100.1 3.263
226 125.1 1.053
253 5.7 10.76
253 23.9 9.847
253 44.8 7.093
253 76.1 2.393
253 98.1 0.663
253 123.5 0.22
282 8 5.807
282 25.2 6.823
282 45.8 6.04
282 75.3 4.693
282 100.2 1.87
282 125.4 0.44
316 9.2 5.327
316 24.5 6.19
316 43.5 5.27
316 73.6 4.467
316 99 2.327
316 123.8 0.717
347 5 5.01
347 25.2 5.36
347 44.5 4.8
347 75.8 3.737
347 100.8 1.35
347 125.1 0.58
25 7.7 4.927
25 24.7 4.533
25 46.9 4.827
25 74.8 2.45
25 100.4 1.097
25 125.2 1.157
46 10.3 5.467
46 24.6 5.437
46 45.3 4.643
46 73.9 5.647
46 100.4 1.21
46 125.1 0.21
69 5.4 7.7
69 24.5 7.383
69 46.2 5.6
69 75.5 2.757
69 99.7 1.447
69 123.1 0.563
92 6.2 5.317
92 25.5 7.233
92 45 6.953
92 75.6 3.55
92 100.5 3.027
92 124.3 0.643
147 7.3 6.223
147 26.5 5.72
147 46.4 5.853
147 76.3 4.05
147 101.2 3.6
147 124.6 1.143
165 8.2 6.295
165 25 5.247
165 46 5.127
165 76.1 4.403
165 100.9 2.947
165 124.9 1.757
221 8.4 6.013
221 25.1 5.93
221 45 7.897
221 75.3 3.747
221 101.3 1.327
221 125.7 0.403
259 6.3 3.565
259 26.3 5.323
259 46.1 4.053
259 75.6 1.627
259 100.8 0.73
259 125.3 0.427
294 8.7 6.53
294 25.3 5.163
294 45.1 5.633
294 74.5 1.957
294 101.4 0.835
294 126 0.353
313 6.9 3.637
313 25 4.823
313 45.5 3.573
313 76.1 1.42
313 100.8 0.737
313 124.8 0.423
344 9 5.557
344 23.7 5.063
344 44.6 3.91
344 75 2.203
344 101 1.207
344 125.7 0.273
38 5.1 5.17
38 24.6 4.473
38 45.2 4.063
38 75.5 4.127
38 100.8 1.56
38 123.4 0.18
80 4.4 6.36
80 25 5.737
80 44.6 4.863
80 75.1 3.17
80 99.7 4.82
80 124.2 0.56
125 7.4 6.653
125 25.9 6.867
125 44.5 7.65
125 75.3 4.207
125 100.2 2.423
125 125.3 1.537
189 6.8 6.533
189 24.8 6.203
189 45.3 5.857
189 75.9 4.087
189 99.8 2.167
189 124.8 0.923
216 7.9 9.257
216 25.2 6.717
216 44.9 6.527
216 75.9 4.14
216 100.1 3.033
216 125.4 0.8
246 6.6 8.177
246 25.8 7.507
246 46 5.275
246 75.9 3.903
246 100.5 1.643
246 125.4 0.78
275 4.5 5.78
275 24.8 5.067
275 44.3 5.22
275 75.7 2.987
275 99 1.343
275 126 0.54
335 9.4 6.11
335 25 4.64
335 45 3.76
335 75.1 2.84
335 99.6 1.467
335 126.2 0.197
354 5.8 7.56
354 24 6.957
354 45.8 4.473
354 76 1.99
354 101.1 0.67
354 123.1 0.25
29 5.8 7.963
29 24.5 7.587
29 45.7 6.303
29 74.5 2.61
29 99.7 1.175
29 124.2 0.403
54 7.4 5.953
54 27.8 5.427
54 46.4 4.137
54 76.6 3.303
54 102 2.85
54 126.3 0.92
148 7.5 5.457
148 26.1 7.163
148 46 5.623
148 75.6 3.217
148 101.1 2.733
148 125.6 0.817
177 9.2 7.983
177 24.6 7.87
177 44.1 5.93
177 74.2 4.063
177 99.2 1.983
177 124.3 0.663
208 8.4 7.097
208 25.3 7.623
208 44.7 6.905
208 75 3.837
208 100.9 1.657
208 125.3 0.833
229 6.2 7.683
229 24.9 7.787
229 43.7 8.237
229 74.3 4.463
229 100.1 2.03
229 125.6 0.417
284 6 7.31
284 24.5 5.92
284 44.2 5.525
284 74.3 3.78
284 99.2 1.15
284 124.1 0.263
335 10.1 10.15
335 22.3 9.02
335 43.3 7.03
335 76.7 1.397
335 100.2 0.583
335 121.8 0.233
20 6.6 4.777
20 24.6 5.257
20 45.3 3.92
20 74.4 3.127
20 99.6 0.89
20 125.3 0.287
48 6.7 5.737
48 24.8 6.723
48 45.4 4.637
48 74.9 3.497
48 100 2.49
48 126 0.833
118 5 6.957
118 25 5.48
118 44.7 4.845
118 75 2.983
118 99.8 3.55
118 125.1 0.663
147 7.2 8.603
147 27.1 5.89
147 47 4.59
147 76.9 2.89
147 101.9 1.953
147 126.7 0.717
184 8.2 6.343
184 25.1 5.787
184 44.7 3.72
184 74.4 5.153
184 100.1 2.78
184 125.9 1.587
205 7.6 5.457
205 24.9 4.837
205 45.1 4.93
205 75.4 2.783
205 99.9 1.527
205 124.9 0.59
230 8.3 9.743
230 24.5 10.067
230 46.1 10.817
230 75 5.487
230 100.7 1.783
230 124.4 0.48
267 5.4 6.527
267 25.1 5.383
267 44.6 3.703
267 74.7 2.173
267 99.8 2.17
267 125.2 0.355
307 4.6 4.633
307 24 4.553
307 44.7 2.463
307 75.2 1.267
307 99.4 0.647
307 127 0.167
343 4.7 5.91
343 24.4 5.62
343 44.3 3.92
343 75 3.43
343 99.9 0.933
343 126.5 0.227
96 4.7 5.83
96 25.2 6.523
96 44.2 5.995
96 77.3 3.257
96 98.4 1.767
96 123.6 1.223
138 5 6.25
138 23.1 6.23
138 44.5 5.82
138 74.5 3.393
138 100.4 4.14
138 125.1 0.63
159 5.4 6.627
159 25 7.03
159 44.6 5.98
159 75.4 3.9
159 100.1 3.097
159 127.1 0.943
189 5.9 8.353
189 25.7 10.26
189 46.1 6.27
189 75.3 4.53
189 100.4 2.07
189 125.5 0.817
219 6 3.96
219 24.9 6.563
219 45.1 4.68
219 75.4 4.523
219 100.2 2.403
219 125.1 0.69
246 6.6 5.717
246 25 6.393
246 45 4.82
246 75.3 3.38
246 100.3 2.067
246 124.5 0.657
276 5.7 8.36
276 24.5 8.39
276 45.5 7.705
276 76 4.273
276 100.8 2.09
276 126 0.56
325 5.7 5.093
325 25.2 5.577
325 45 3.383
325 75.2 2.553
325 100.3 1.59
325 125.6 0.417
9 6.7 5.66
9 26.6 6.113
9 46.2 4.785
9 76.6 2.283
9 101.4 1.225
9 125.5 0.453
29 6.7 5.527
29 24.9 5.213
29 45.8 4.557
29 74.9 2.605
29 100 1.527
29 124.5 0.617
59 6.8 6.353
59 24.8 6.963
59 46.3 4.613
59 75.5 3.063
59 100.7 1.723
59 125.7 0.817
101 4.6 4.997
101 25.4 6.045
101 45.5 4.963
101 75 3.545
101 102.5 1.663
101 124.8 0.733
129 5.9 7.31
129 24.1 7.5
129 44 5.74
129 74.2 2.66
129 99.4 1.097
129 123.9 0.3
200 5.7 6.81
200 24.5 6.373
200 44.6 6.307
200 74.7 4.69
200 99.8 2.877
200 124.1 1.01
243 5.6 9.525
243 25.7 9.545
243 45.6 7.12
243 74.8 4.847
243 99.7 1.857
243 124.9 0.485
270 5.8 8.285
270 25.7 7.42
270 45.3 6.84
270 75.9 3.993
270 100.9 1.493
270 125.5 0.545
308 5.7 8.74
308 26 7.123
308 47.1 4.607
308 78.5 3.693
308 99.9 0.95
308 126.7 0.173
333 5.6 10.885
333 24.8 10.173
333 45.5 4.833
333 74.2 1.863
333 99.6 0.47
333 124.1 0.207
18 5.6 6.413
18 25.8 8.233
18 44.4 5.8
18 75.7 2.743
18 100.2 1.08
18 127.5 0.4
122 5.7 7.193
122 23.9 7.067
122 46.1 7.7
122 78.2 5.583
122 101.1 4.3
122 125.5 1.08
151 4.5 6.667
151 24.4 8.407
151 45.6 6.037
151 73.8 4.16
151 100.9 1.96
151 123.9 0.683
178 5 6.483
178 24.8 7.677
178 45.4 6.78
178 75.1 4.697
178 99.5 3.173
178 125.2 1.247
213 6.7 6.66
213 24.4 7.85
213 45.4 6.223
213 75.7 4.723
213 100.3 2.16
213 124.6 0.825
230 5.2 5.047
230 24.7 5.503
230 45.4 4.193
230 75.3 3.49
230 100.3 2.49
230 126.3 1.005
258 5.5 5.267
258 24.6 5.09
258 45.5 5.267
258 75.3 4.115
258 100.5 2.855
258 124.5 0.91
281 5.6 5.975
281 25.2 6.47
281 45.3 4.697
281 75.4 3.863
281 100.2 2.755
281 125.5 0.905
338 5.9 5.997
338 25.5 4.95
338 44.3 3.56
338 75.4 1.577
338 100.1 1.17
338 124.8 0.365
43 7.9 5.767
43 25.4 6.62
43 45.6 4.28
43 75.1 2.685
43 100 1.653
43 124.3 0.933
65 6.3 6.61
65 25 7.23
65 45.1 7.197
65 76.5 5.905
65 99.6 2.327
65 124.9 0.73
95 5.3 5.977
95 25.4 5.953
95 45.9 5.59
95 75.7 4.19
95 100 3.473
95 125.2 1.72
137 7.3 6.19
137 25 6.7
137 45.3 6.583
137 75.5 4.285
