"DOY" "Depth" "TIN"
67 124.8 0.25
67 143.7 0.43
67 197.3 1.34
68 234.9 2.42
68 4.6 0.01
68 14.9 0.01
68 60.1 0.01
68 75 0.01
68 125.8 0.04
68 135 0.2
68 149.2 0.38
68 159.5 0.57
68 200.4 0.69
169 179.4 0.04
169 193.4 1.41
169 245.6 4.69
170 210.4 2.57
170 226.3 3.68
170 235.5 4.3
170 5.1 0.01
170 59.7 0.01
170 75.4 0.01
170 105.1 0.01
170 125.3 0.11
170 136.6 0.21
170 150.6 0.36
170 157.4 0.41
170 175.1 0.62
170 185.2 1.31
170 201.4 1.75
205 4.4 0.01
205 155.8 1.12
206 5.4 0.01
206 24 0.01
206 119.5 0.02
206 164 1.08
206 172.9 1.45
206 199.6 2.99
206 242.2 4.6
206 200.4 1.76
206 210.8 2.24
206 223.9 2.76
206 236.7 3.35
206 247.9 3.69
206 34.2 0.01
206 115.3 0.01
206 124.2 0.07
206 134.4 0.32
206 149.6 0.95
206 175 1.89
206 201.3 3.06
241 120.2 0.89
241 5 0.01
241 64 0.01
241 76.2 0.01
241 115.3 0.04
241 133.5 0.92
241 165.5 1.66
241 208.9 1.68
241 230.8 5.26
242 210.3 3.57
242 223.7 5.59
242 234.9 6.2
242 249.2 6.87
242 44.6 0.01
242 59.6 0.01
242 75.9 0.02
242 85 0.03
242 94.4 0.02
242 105.5 0.1
242 115 0.76
242 125.1 1.24
242 135.4 1.85
242 150.4 1.91
242 175.6 2.73
242 200.7 1.45
266 10.1 0.01
266 39.1 0.01
266 118.1 0.21
266 134.1 0.44
266 148.7 0.76
266 181.5 1.51
266 200 1.97
266 224.6 2.54
266 234.4 2.98
266 249.2 4.16
266 5.4 0.01
266 25 0.01
266 35 0.01
266 44.6 0.01
266 59.9 0.02
266 75.2 0.03
266 84.9 0.02
266 95.1 0.02
266 105.2 0.03
266 115.6 0.04
266 124.1 0.22
266 135.5 0.39
266 149.6 0.42
266 174.4 0.87
266 200 1.49
287 4.8 0.01
287 60.2 0.01
287 70.9 0.02
287 120.1 0.22
287 150.7 0.81
287 177.2 1.21
287 199.8 2.01
287 225.3 3.11
288 225.2 3.14
288 235.3 3.7
288 34.3 0.01
288 44.6 0.01
288 59.5 0.01
288 74.5 0.01
288 84.2 0.02
288 94.7 0.01
288 104.7 0.01
288 115.3 0.03
288 124.7 0.25
288 134.8 0.52
288 149.5 0.75
288 174.4 1.15
288 200.8 2.14
324 224.2 3.84
324 234.4 4.4
324 102.3 0.02
324 115.7 0.14
324 125.2 0.22
324 135.4 0.29
324 150.6 0.96
324 173 1.66
325 4.7 0.01
325 49.5 0.01
325 103.8 0.01
325 109.5 0.04
325 117.7 0.08
325 136.4 0.57
325 160.4 0.58
325 234.9 5.69
36 249.6 8.83
36 49.8 0.01
36 74.2 0.01
36 118.8 0.02
36 129.6 0.05
36 159 1.19
36 193.9 2.7
36 210.2 2.64
37 209.6 3.96
37 225 4.54
37 234.3 4.91
37 249.5 7.36
37 14.9 0.01
37 23.2 0.01
37 34.1 0.01
37 59.8 0.01
37 74.9 0.02
37 84.8 0.01
37 113.5 0.05
37 123.8 0.27
37 133.6 0.26
37 149.8 0.31
37 160.2 0.83
37 175.1 3.04
37 184.4 3.12
37 199.5 3.25
39 124.5 0.1
39 150 0.72
39 175.5 2.76
39 199.4 2.76
39 225.2 3.61
62 101.3 0.92
63 53.2 0.01
63 75.9 0.01
63 90.4 0.02
63 140.1 0.96
63 197 4.47
63 215.4 4.97
63 209.8 5.06
63 225.6 6.08
63 234 6.56
63 25.5 0.01
63 57.9 0.01
63 78 0.02
63 85.2 0.07
63 96 0.38
63 106.3 1.3
63 111.9 0.92
63 123.6 1.63
63 134.2 1.15
63 149.2 1.18
63 174.9 2.4
63 200 3.47
97 99 0.01
97 115.1 0.01
97 124.3 0.01
97 149.5 0.2
97 174.4 0.78
97 199.5 1.55
97 250 3.12
97 200.2 1.04
97 249.6 3.56
97 179.5 0.59
97 199.9 0.93
97 224.2 1.71
97 194.6 1.05
126 99.5 0.24
127 122.1 0.61
126 166.7 0.57
126 200.4 0.97
126 222.3 1.39
127 209.6 2.23
127 223.8 2.99
127 234.2 3.48
127 249.2 4.5
127 5 0.01
127 24.7 0.01
127 34.3 0.02
127 59.5 0.01
127 75.6 0.02
127 84.3 0.03
127 95.2 0.03
127 104.8 0.04
127 115 0.08
127 124.3 0.29
127 135.3 0.43
127 149.8 0.53
127 159.4 0.81
127 174.7 1.23
127 184.9 1.61
127 200.4 2.08
127 210.5 2.36
211 224.8 2.92
211 234 4.11
211 249.7 5.79
211 14.7 0.01
211 74.9 0.01
211 85 0.01
211 104.7 0.01
211 114.6 0.01
211 124.5 0.01
211 133.8 0.1
211 149.5 0.76
211 174.3 1.32
211 201 2.01
212 4.2 0.01
212 48.4 0.01
212 63 0.02
212 90 0.01
212 110.7 0.01
212 161.3 1.06
212 180 1.25
213 4.5 0.01
213 129.5 0.82
239 4.9 0.01
239 106.4 0.09
240 43.1 0.01
240 98.7 0.02
240 136.5 1.52
240 218.8 5.07
240 210.1 3.57
240 224.9 4.53
240 235.6 4.92
240 4.7 0.01
240 44.3 0.01
240 60.3 0.01
240 74.4 0.02
240 84.3 0.01
240 94.7 0.01
240 100.2 0.01
240 105.2 0.02
240 114.8 0.27
240 124.8 0.67
240 135.4 1.03
240 149.6 1.85
240 160 1.86
240 173.3 2.1
240 184.8 2.69
240 201 3.18
269 4.9 0.01
269 119.9 0.76
270 4.4 0.02
270 27.4 0.02
270 42.5 0.03
270 49 0.02
270 70.2 0.02
270 87.6 0.02
270 110.5 1.37
270 196.6 3.93
270 249 7.34
270 4.8 0.01
270 14.7 0.01
270 24.5 0.01
270 44.3 0.01
270 73.9 0.02
270 124.8 0.1
270 173.6 1.48
270 199.9 1.82
270 210.3 2.37
270 224.4 3.7
270 233.4 4.83
270 248.7 6.06
270 5 0.01
270 14.1 0.01
270 24.8 0.01
270 60.4 0.04
270 74.5 0.03
270 104.1 0.01
270 124 0.29
270 134.1 0.55
270 149.1 1.49
270 160.5 1.39
270 174.4 1.61
270 185.1 1.69
270 200.5 1.86
299 104.9 0.01
299 113.8 0.01
299 139.6 0.76
299 165.8 1.14
299 227.5 5.34
300 199.4 3.9
300 224.9 5.73
300 13.6 0.01
300 44.3 0.03
300 59.4 0.02
300 75 0.02
300 84.9 0.02
300 104.1 0.02
300 114.9 0.01
300 124.8 0.01
300 134.7 0.4
300 149.1 0.02
300 158.3 0.83
300 174.3 0.97
300 185 1.68
300 199.6 4.16
320 133 1.47
320 77.6 0.01
320 95 0.27
320 125.1 0.79
320 200.7 2.71
320 230.5 4.62
321 225.3 5.68
321 234.9 5.87
321 249.7 6.46
321 14.1 0.01
321 24 0.01
321 34.5 0.01
321 44.3 0.02
321 60.9 0.02
321 74.5 0.02
321 85.5 0.01
321 94.1 0.02
321 104.3 0.48
321 114.3 1.01
321 125 1.22
321 134.5 1.41
321 149.9 1.69
321 175.1 2.41
321 200.8 3.75
16 149.6 1.21
16 91.3 0.02
16 114.8 0.76
16 155.3 1.47
16 174.3 1.91
17 209.6 2.74
17 224.5 3.52
17 234.5 4.14
17 4.6 0.01
17 14.5 0.01
17 24.9 0.03
17 34.8 0.02
17 44.8 0.01
17 59.6 0.01
17 104.4 0.07
17 114.4 0.36
17 124.8 0.72
17 134.9 0.91
17 149.5 1.13
17 160 1.48
17 174.4 1.79
17 184.4 2.11
17 200.3 2.6
86 8.9 0.01
86 68.7 0.01
86 95 0.04
86 154.5 2.27
86 200 3.97
86 233.4 6.76
87 208.1 5.86
87 225 7.2
87 234.3 7.63
87 249.3 9.07
87 13.1 0.02
87 24.4 0.03
87 34 0.01
87 72.8 0.01
87 84.4 0.01
87 95.2 0.01
87 104.6 0.01
87 114.7 0.18
87 123.7 0.41
87 134 0.82
87 148.7 1.68
87 173 2.47
87 199.6 3.7
114 162.7 1.79
114 4.5 0.01
114 130.4 0.03
114 155.8 0.82
114 171.4 1.59
115 225 3.34
115 234.2 3.44
115 249.4 5.62
115 4.6 0.02
115 23.6 0.01
115 34.3 0.01
115 44.1 0.01
115 59 0.01
115 74.1 0.02
115 94.2 0.01
115 104.1 0.02
115 114.8 0.08
115 123.9 0.08
115 134.5 0.07
115 150.5 0.25
115 174.5 1.1
115 200.8 1.69
143 125.4 0.55
143 210.1 2.08
143 225.3 2.93
143 236.2 3
143 249.6 3.56
143 44.5 0.01
143 61.1 0.04
143 75.1 0.04
143 85 0.01
143 94.3 0.03
143 105.1 0.02
143 116.3 0.02
143 125 0.04
143 134.8 0.65
143 149 0.96
143 175.1 1.06
143 202.1 0.99
144 21 0.01
144 43.7 0.01
144 94.5 0.08
144 101.3 0.19
144 119.9 0.22
144 158.9 0.97
144 231.9 4.26
177 184 0.75
177 60.3 0.01
177 80.4 0.02
177 90.1 0.01
177 131.1 0.01
177 159.9 0.46
177 203.8 1.49
178 210 1.52
178 225 2.21
178 234.8 2.69
178 4 0.02
178 14.7 0.02
178 74.4 0.01
178 84.5 0.01
178 104.7 0.03
178 114.5 0.03
178 124.1 0.08
178 134 0.18
178 150 0.37
178 159 0.5
178 174.6 0.63
178 184.6 0.64
178 200.9 1.24
208 55 0.01
208 134.4 0.29
208 173.9 1.23
208 185.7 1.52
208 208 2.57
209 9.5 0.02
209 140.3 0.63
209 209.6 2.38
209 224.9 2.58
209 234.7 2.7
209 249.9 4.02
209 4.5 0.01
209 14.4 0.01
209 44.6 0.02
209 58.9 0.02
209 74.8 0.02
209 84.5 0.03
209 95.1 0.02
209 113.7 0.03
209 124.2 0.21
209 134.2 0.35
209 150.2 0.49
209 174.3 1.54
209 199.9 1.88
233 149.6 0.96
233 51.1 0.01
233 128.4 0.45
233 147.8 0.8
233 190.2 1.74
234 224.4 2.89
234 234.4 3.63
234 249 5.24
234 74.5 0.01
234 114.2 0.01
234 125.3 0.43
234 135.7 0.6
234 150.4 0.88
234 176 1.42
234 199.8 1.9
275 24.9 0.01
275 54.4 0.01
275 70 0.01
275 85.5 0.01
275 109.8 0.01
275 115.2 0.02
275 169.4 1.83
276 210.2 3.18
276 223.6 4.66
276 233.3 5.64
276 249 6.63
276 34.9 0.01
276 43.6 0.01
276 59.6 0.01
276 73.8 0.01
276 103.7 0.01
276 115.3 0.2
276 124.3 0.37
276 134.8 0.07
276 148.7 0.58
276 159.4 1.3
276 175.1 1.61
276 183.8 2.12
276 199.9 2.13
304 130.3 1.75
304 200.1 4.83
304 80.2 0.01
304 188.6 2.26
304 209.8 2.91
304 224.3 4.18
304 234 4.61
304 249.6 5.81
304 4.3 0.01
304 43.7 0.01
304 104.4 0.04
304 114.2 0.27
304 123.8 0.68
304 135.2 1.15
304 149.7 1.64
304 175.2 2.14
304 201.3 2.75
345 110.2 0.03
345 99.9 0.07
345 114 0.26
345 128.4 0.96
345 227.8 5.09
346 224.6 4.28
346 234.4 4.67
346 249 5.42
346 14.6 0.01
346 24.2 0.02
346 35 0.04
346 44.5 0.03
346 59.5 0.04
346 74.2 0.02
346 83.9 0.04
346 95.7 0.01
346 105.1 0.02
346 114.6 0.27
346 125 0.33
346 135.4 0.59
346 149.4 1.18
346 174.7 2.5
346 199.9 3.68
7 143.7 1.12
7 57.4 0.01
7 100.8 0.92
7 152.6 2.18
7 224.6 4.8
8 120.1 0.93
8 235.3 4.72
8 250 6.1
8 14.2 0.01
8 75 0.01
8 84.8 0.15
8 94.4 0.18
8 104.5 0.38
8 114.1 0.68
8 124.9 0.9
8 134.9 1.11
8 149.9 1.37
8 175 2.1
8 199.8 2.93
48 214.4 1.08
48 4 0.01
48 110.8 0.04
48 175.4 0.45
48 203.7 1.77
48 224.1 2.4
49 4.4 0.01
49 200.2 0.99
49 225.8 1.88
49 234.6 2.1
49 15.2 0.01
49 24.5 0.01
49 44.4 0.01
49 60.1 0.03
49 74.5 0.03
49 84.4 0.03
49 94.2 0.03
49 104.7 0.05
49 114.4 0.06
49 124.5 0.09
49 135.8 0.12
49 150 0.18
49 174.1 0.45
49 200.6 1.36
70 73 0.01
70 74.8 0.01
70 86.8 0.02
70 119.7 0.28
70 156.5 1.87
70 227.1 4.31
71 210 4.13
71 225.1 5.7
71 234.4 6.05
71 249.2 7.06
71 35.5 0.02
71 44.6 0.02
71 59.9 0.01
71 75.2 0.02
71 85.5 0.02
71 95 0.02
71 105 0.05
71 115.4 0.09
71 124.2 0.2
71 134.9 0.57
71 150.2 1.19
71 174.6 2.65
71 201.2 3.35
98 49.9 0.01
98 77.7 0.18
98 129.1 2.35
98 149.5 3.44
98 190 5.84
98 226 8.3
99 224.1 7.35
99 234.8 7.78
99 249.6 8.53
99 5.1 0.01
99 25.4 0.01
99 44.3 0.02
99 60.1 0.01
99 75 0.38
99 85.1 0.7
99 95 1.55
99 105.1 1.71
99 115.1 2.52
99 125 2.86
99 134.8 3.23
99 149.9 3.98
99 175.1 5.16
99 200.1 6.37
126 150.4 0.64
126 4.4 0.01
126 56 0.01
126 104.9 0.03
126 137 0.26
126 146.7 0.32
126 200.8 2.22
127 225.4 2.59
127 234.3 2.8
127 249 3.64
127 4.2 0.01
127 14.7 0.01
127 25 0.02
127 34.6 0.02
127 59.9 0.02
127 74.6 0.01
127 85 0.01
127 95.1 0.02
127 104.5 0.02
127 115.3 0.02
127 124.6 0.02
127 134.4 0.08
127 149.1 0.47
127 174.1 0.94
127 199.8 1.86
154 5.3 0.02
154 144.9 1.01
154 130.8 0.75
154 143.8 1.3
154 193.1 2.44
154 241.6 5.59
155 225.2 4.27
155 235.1 4.5
155 249.2 4.86
155 15.3 0.01
155 45.6 0.01
155 94.9 0.01
155 104.6 0.01
155 114.6 0.01
155 124.6 0.14
155 134.8 0.76
155 149.3 1.24
155 175 1.8
155 199.9 2.77
189 162.2 0.56
