"DOY" "Depth" "TIN"
285 10 0.201666496694088
285 15 0.199432875961065
285 20 0.197969697415829
285 25 0.19730194658041
285 30 0.195413142442703
285 35 0.197021741420031
285 40 0.200272861868143
285 45 0.203887809067965
285 50 0.209096632897854
285 55 0.221058912575245
285 60 0.238139484077692
285 65 0.265470419079065
285 70 0.287598058581352
285 75 0.38470596075058
285 80 0.51991431415081
285 85 0.672489479184151
285 90 0.821488961577415
285 95 0.985604852437973
285 105 1.16729395091534
285 125 2.27243882417679
285 150 3.10861498117447
285 175 3.49835270643234
285 200 3.75966060161591
285 225 4.3139568567276
285 250 4.94606494903564
315 1.25 0.0256061251275241
315 5 0.0204600775614381
315 10 0.0266935802064836
315 15 0.0269395895302296
315 20 0.0282603846862912
315 25 0.0271601770073175
315 30 0.0246923163067549
315 35 0.020550844958052
315 40 0.0164629227947444
315 45 0.0122502750600688
315 50 0.0177829295862466
315 55 0.0416704663075507
315 60 0.0871068453416228
315 65 0.15008999966085
315 70 0.210671178996563
315 75 0.326917130500078
315 80 0.480292037129402
315 85 0.673289209604263
315 90 0.876125812530518
315 95 1.02749489247799
315 105 1.02081163227558
315 125 2.10207262635231
315 150 2.82588344812393
315 175 3.43694597482681
315 200 3.84359854459763
315 225 4.0973544716835
315 250 4.41226530075073
345 1.25 0.0331219523213804
345 5 0.0412820130586624
345 10 0.0411354140378535
345 15 0.0443964689038694
345 20 0.0501127149909735
345 25 0.0422774706967175
345 30 0.0502505674958229
345 35 0.0739083392545581
345 40 0.106526110321283
345 45 0.118919193744659
345 50 0.123859351500869
345 55 0.0800273958593607
345 60 0.0767495892941952
345 65 0.0739700011909008
345 70 0.0732096852734685
345 75 0.0867470167577267
345 80 0.274240825325251
345 85 0.549585446715355
345 90 0.764079540967941
345 95 0.975525185465813
345 105 1.1989474594593
345 125 2.27505549788475
345 150 2.96592473983765
345 175 3.07295942306519
345 200 1.21907615661621
345 225 3.71722537279129
345 250 4.10912638902664
