CRUISE,STNNBR,CASTNO,SAMPNO,DATE,TIME,LATITUDE,LONGITUDE,BTLNBR,CTDPRS,CTDDPT,CHLWEL,CHLWEL1,CHLHOL,CHLHOL1,SIZE10,SIZE3,SIZE1,SIZE_L1,CHLHPLC,CHLC3,CHLIDEA,MGDVP,CHLC2,PERID,PHIDEA,BUTFUCO,FUCO,NEO,PRAS,HEXFUCO,VIOLA,DIADINO,ANTH,ALLO,DIATO,ZEA,LUT,CROCO,CHLB,DCHLA,PHYTINA,ALPHAC,BETAC,CHLWEL_FLAG_W,1CHLWEL_FLAG_W,CHLHOL_FLAG_W,1CHLHOL_FLAG_W,SIZECHL_FLAG_W,1SIZECHL_FLAG_W,2SIZECHL_FLAG_W,3SIZECHL_FLAG_W,CHLHPLC_FLAG_W,CHLC3_FLAG_W,CHLIDEA_FLAG_W,MGDVP_FLAG_W,CHLC2_FLAG_W,PERID_FLAG_W,PHIDEA_FLAG_W,BUTFUCO_FLAG_W,FUCO_FLAG_W,NEO_FLAG_W,PRAS_FLAG_W,HEXFUCO_FLAG_W,VIOLA_FLAG_W,DIADINO_FLAG_W,ANTH_FLAG_W,ALLO_FLAG_W,DIATO_FLAG_W,ZEA_FLAG_W,LUT_FLAG_W,CROCO_FLAG_W,CHLB_FLAG_W,DCHLA_FLAG_W,PHYTINA_FLAG_W,ALPHAC_FLAG_W,BETAC_FLAG_W,,
MR10-01,KNT,1,33,01/23/2010,0:27,43.987,154.996,X12033,50.4,50,0.59,0.6,0.56,0.57,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,
MR10-01,KNT,1,32,01/23/2010,0:27,43.987,154.996,X12032,75.5,74.8,0.57,-9,0.55,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,
MR10-01,KNT,1,31,01/23/2010,0:27,43.987,154.996,X12048,98.9,98.1,0.17,-9,0.14,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,
MR10-01,KNT,1,30,01/23/2010,0:27,43.987,154.996,X12030,124.1,123.1,0.02,-9,0.01,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,
MR10-01,KNT,1,29,01/23/2010,0:27,43.987,154.996,X12047,149.6,148.3,0.01,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,
MR10-01,KNT,1,28,01/23/2010,0:27,43.987,154.996,X12028,175,173.5,0.01,-9,0.01,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,
MR10-01,KNT,1,27,01/23/2010,0:27,43.987,154.996,X12027,201.1,199.4,0.01,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,
MR10-01,KNT,1,26,01/23/2010,0:27,43.987,154.996,X12026,251.7,249.6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,
MR10-01,KNT,1,25,01/23/2010,0:27,43.987,154.996,X12025,300.7,298.1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,
MR10-01,KNT,1,24,01/23/2010,0:27,43.987,154.996,X12024,402.4,398.8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,
